,sitios,fecha,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,cr_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica
0,Canal Villanueva y Río Luján,23/2/2022,24.5,23.3,5.3,6.56,False,False,False,True,2200.0,100.0,130.0,2.9,0.42,0.23,0.15,6.2,29.0,90.0,,,,55.0
1,Río Lujan y Arroyo Caraguatá,23/2/2022,25.4,23.3,2.25,6.56,True,True,False,False,1200.0,200.0,400.0,3.3,0.51,0.41,0.35,5.8,29.0,34.0,,,,42.0
2,Canal Aliviador y Río Lujan,23/2/2022,24.6,23.3,2.94,6.59,False,True,False,False,1800.0,200.0,580.0,6.5,0.05,0.59,0.54,1.9,29.0,17.0,,,0.2,45.0
3,Río Carapachay y Arroyo Gallo Fiambre,23/2/2022,25.2,23.3,2.22,7.45,True,True,False,False,1400.0,100.0,300.0,7.4,1.0,0.38,0.4,5.8,29.0,23.0,,,,46.0
4,Río Reconquista y Río Lujan,23/2/2022,24.1,20.0,1.02,6.39,False,True,False,True,1100.0,100.0,370.0,8.8,0.049,0.55,0.54,2.6,59.0,18.0,,,,44.0
5,Rio Tigre 100m antes del Rio Luján,23/2/2022,24.9,23.3,3.5,6.53,False,False,False,True,3200.0,200.0,750.0,4.4,3.5,1.1,0.91,3.9,130.0,8.9,,,,40.0
6,Río Lujan y Canal San Fernando,23/2/2022,24.5,20.0,1.5,6.54,False,True,False,True,18000.0,1500.0,100.0,5.6,2.0,0.73,0.6,3.5,42.0,12.0,,,0.4,35.0
7,Río Capitán y Río San Antonio,23/2/2022,24.5,21.0,6.3,6.48,False,True,False,False,1000.0,200.0,1200.0,3.1,0.049,0.17,0.16,5.5,69.0,90.0,,,,46.0
8,Arroyo Abra Vieja y Santa Rosa,23/2/2022,23.4,21.0,4.49,6.76,False,False,False,False,400.0,100.0,220.0,1.9,0.1,0.21,0.19,1.9,29.0,39.0,,,,58.0
9,Del Arca,23/2/2022,21.5,23.0,3.85,6.66,False,False,False,True,2200.0,100.0,270.0,5.4,0.049,0.28,0.39,1.9,29.0,28.0,,,,51.0
10,Espigón La Farola,23/2/2022,,,,,True,True,True,True,,,,,,,,,,,,,,
11,Reserva Ecológica,23/2/2022,27.0,26.0,5.83,6.9,False,False,False,False,6000.0,800.0,760.0,5.9,0.75,0.22,0.18,1.9,41.0,19.0,,,,46.0
12,Playa Espigón de Pacheco,23/2/2022,26.5,27.0,5.3,7.49,False,False,False,False,,,,,,,,,,,,,,
13,Perú Puente,23/2/2022,26.1,27.0,1.8,6.2,False,False,False,True,28000.0,5200.0,3300.0,1.9,7.2,0.43,0.32,7.1,29.0,7.5,,,,33.0
14,Reserva Barrio El Ceibo,23/2/2022,,23.0,,,False,False,False,False,5500.0,100.0,650.0,4.9,0.94,0.28,0.33,1.9,29.0,14.0,,,,45.0
15,Puerto de Olivos Espigón,23/2/2022,,22.0,,,False,False,False,False,6500.0,200.0,1700.0,7.3,0.63,0.27,0.32,1.9,29.0,17.0,,,,40.0
16,Costa y Melo,23/2/2022,,22.0,,,False,False,False,False,4200.0,500.0,240.0,5.9,0.41,0.24,0.69,1.9,29.0,22.0,,,,47.0
17,Parque de los Niños,23/2/2022,26.1,,4.8,7.4,False,False,False,False,1800.0,1300.0,10.0,4.6,1.2,0.24,0.2,,29.0,22.0,,,,54.0
18,Costanera Norte - Espigón Abanico,23/2/2022,25.4,,7.3,7.4,False,False,False,False,900.0,700.0,30.0,4.0,0.9,0.33,0.36,11.0,29.0,22.0,,,,59.0
19,Club de Pescadores,23/2/2022,24.7,,5.6,7.4,False,False,False,False,1300.0,600.0,100.0,3.1,0.6,0.22,0.2,7.0,29.0,35.0,,,,60.0
20,Reserva Ecológica Costanera Sur - Playita,23/2/2022,24.7,,8.0,7.5,False,False,False,False,400.0,200.0,20.0,5.1,0.5,0.18,0.35,4.9,29.0,31.0,,,,76.0
21,Escollera de Propaneros,23/2/2022,27.4,22.2,3.63,7.43,False,False,False,False,2700.0,2100.0,350.0,10.0,0.049,0.65,0.65,5.2,29.0,12.0,,70.8,,44.0
22,Polo Petroquímico Dock Sud,23/2/2022,25.7,22.2,4.13,7.58,False,False,False,False,5200.0,600.0,180.0,6.9,0.97,0.42,0.34,5.2,46.0,22.0,,20.7,,45.0
23,Arroyo Sarandí,23/2/2022,26.3,25.2,4.43,7.81,False,False,False,False,2500.0,2000.0,140.0,8.6,0.049,0.69,0.52,9.2,29.0,17.0,,130.2,,44.0
24,Costa de Villa Domínico,23/2/2022,25.1,25.2,7.51,8.62,False,False,False,False,1400.0,300.0,2200.0,8.9,0.8,0.85,0.49,15.0,94.0,19.0,,,,39.0
25,Arroyo Santo Domingo,23/2/2022,25.8,25.2,9.29,8.83,False,False,False,False,3800.0,1600.0,1100.0,6.5,1.9,0.8,0.69,14.0,35.0,13.0,,,,39.0
26,Espora 400 m,23/2/2022,23.0,22.0,10.6,8.2,False,False,False,False,1200.0,100.0,20.0,6.0,0.049,0.4,0.39,1.9,29.0,26.0,,42.1,,59.0
27,Náutico 400 m,23/2/2022,24.0,23.0,9.59,7.94,False,False,False,False,1000.0,100.0,10.0,5.7,0.06,0.39,0.29,,29.0,26.0,,28.0,1.0,48.0
28,Pejerrey Club 400 m,23/2/2022,23.0,22.0,12.15,8.5,False,False,False,False,1000.0,200.0,10.0,4.3,0.049,0.37,0.31,4.4,49.0,36.0,,140.8,,55.0
29,Calle 14 y Costa - Salida cloaca,23/2/2022,23.0,20.0,7.91,7.93,False,False,False,False,3000.0,100.0,450.0,4.1,0.08,0.37,0.27,12.0,29.0,45.0,,164.9,,48.0
30,Puerto Trinidad calle 47,23/2/2022,,,,,True,True,True,True,,,,,,,,,,,,,,
31,Costanera Hudson Calle 63,23/2/2022,26.0,23.0,9.58,9.01,False,False,False,False,1100.0,300.0,1500.0,4.0,0.08,0.57,0.58,7.2,135.0,85.0,,414.8,1.0,40.0
32,Boca Cerrada (Res.Nat. Punta Lara),23/2/2022,,25.0,,,False,False,False,False,,,,5.6,0.049,0.33,0.32,3.1,29.0,45.0,0.005,54.1,,55.0
33,Camping Eva Perón,23/2/2022,23.4,27.0,10.34,9.16,True,True,True,True,1200.0,100.0,40.0,5.2,0.06,0.39,0.38,4.7,29.0,65.0,,77.2,,42.0
34,Toma de agua Club de Pesca,23/2/2022,24.7,27.0,7.17,8.11,False,False,False,False,750.0,300.0,130.0,6.3,0.049,0.35,0.24,1.9,29.0,34.0,,13.4,,56.0
35,Arroyo El Gato,23/2/2022,24.2,27.0,3.54,7.76,False,False,False,False,5000.0,400.0,850.0,13.1,0.049,0.33,0.21,7.4,29.0,12.0,,,,46.0
36,Ensenada Prefectura Isla Santiago,23/2/2022,23.9,27.0,8.08,8.31,False,False,False,False,1800.0,100.0,80.0,8.0,0.1,0.27,0.22,1.9,29.0,35.0,,17.4,,57.0
37,Balneario Palo Blanco,23/2/2022,22.0,20.0,6.59,7.91,False,False,False,False,700.0,100.0,360.0,2.9,0.049,1.3,0.5,5.0,29.0,11.0,,,,50.0
38,Diagonal 66 (descarga cloaca),23/2/2022,20.0,18.0,6.56,8.11,True,True,True,True,150000.0,2800.0,20000.0,2.0,0.049,1.5,1.3,8.4,29.0,4.1,,,,31.0
39,Playa La Bagliardi,23/2/2022,20.0,18.0,6.03,7.3,False,False,False,False,3500.0,200.0,1800.0,1.9,0.23,1.4,0.44,5.4,47.0,18.0,,,,44.0
40,Balneario Municipal,23/2/2022,20.0,17.0,7.4,7.84,False,False,False,False,5000.0,200.0,1100.0,2.2,0.45,0.44,0.68,,29.0,130.0,0.0062,,0.3,44.0
41,Playa La Balandra,23/2/2022,20.0,17.0,6.99,7.75,False,False,False,False,6000.0,100.0,7500.0,1.9,0.18,0.54,0.85,2.4,32.0,110.0,0.0061,,,42.0
42,Canal Villanueva y Río Luján,4/5/2022,19.6,16.0,7.73,7.03,False,False,False,True,1000.0,200.0,50.0,7.7,,0.17,0.1,3.4,48.0,60.0,,,,59.0
43,Río Lujan y Arroyo Caraguatá,4/5/2022,18.6,16.0,4.28,6.72,False,False,False,False,150000.0,12000.0,1440.0,8.8,0.6,0.3,0.27,4.6,62.0,60.0,,,,36.0
44,Canal Aliviador y Río Lujan,4/5/2022,18.6,16.0,5.47,6.8,False,False,False,False,40000.0,10000.0,110.0,3.9,,0.33,0.29,,49.0,65.0,0.006,,,42.0
45,Río Carapachay y Arroyo Gallo Fiambre,4/5/2022,18.2,16.0,5.79,6.94,False,True,False,False,60000.0,2000.0,380.0,4.5,0.05,0.25,0.22,2.5,39.0,80.0,,,,40.0
46,Río Reconquista y Río Lujan,4/5/2022,18.2,16.0,4.9,6.85,True,False,False,True,28000.0,5200.0,460.0,8.5,0.25,0.71,0.35,3.6,67.0,70.0,0.01,,,37.0
47,Rio Tigre 100m antes del Rio Luján,4/5/2022,17.0,13.0,4.29,6.76,False,False,False,True,106000.0,8000.0,770.0,11.3,0.21,0.51,0.41,3.5,54.0,80.0,0.009,,,37.0
48,Río Lujan y Canal San Fernando,4/5/2022,17.4,13.0,5.05,6.74,False,False,False,True,30000.0,2300.0,300.0,8.3,0.26,0.33,0.3,2.8,63.0,60.0,,,,41.0
49,Río Capitán y Río San Antonio,4/5/2022,18.3,13.0,7.85,7.02,False,False,False,False,2500.0,300.0,50.0,3.9,,0.1,0.1,,60.0,50.0,,,,58.0
50,Arroyo Abra Vieja y Santa Rosa,4/5/2022,18.5,16.0,7.85,7.32,False,False,False,False,2200.0,50.0,50.0,2.6,,0.13,0.11,,58.0,65.0,,,,61.0
51,Del Arca,4/5/2022,17.0,14.0,5.56,7.3,True,True,True,True,90000.0,4200.0,1500.0,5.1,0.98,0.26,0.24,,34.0,50.0,,,,39.0
52,Espigón La Farola,4/5/2022,,,,,True,True,True,True,,,,,,,,,,,,,,
53,Reserva Ecológica,4/5/2022,17.5,16.0,6.7,7.1,False,False,False,False,3500.0,300.0,160.0,6.1,0.45,0.18,0.15,,180.0,45.0,,,,55.0
54,Playa Espigón de Pacheco,4/5/2022,17.4,18.0,6.5,7.39,False,False,False,False,10000.0,4500.0,440.0,8.2,0.91,0.25,0.25,,80.0,31.0,,,,44.0
55,Perú Puente,4/5/2022,20.0,17.0,1.39,7.4,False,False,False,True,96000.0,44000.0,4200.0,10.8,5.7,0.77,0.73,5.2,57.0,2.5,,,,35.0
56,Reserva Barrio El Ceibo,4/5/2022,,23.0,,,False,False,False,False,3000.0,700.0,350.0,9.1,0.41,0.23,0.2,,54.0,27.0,,,,50.0
57,Puerto de Olivos Espigón,4/5/2022,,22.0,,,False,False,False,False,68000.0,7000.0,730.0,8.6,0.87,0.23,0.2,3.3,64.0,33.0,,,,37.0
58,Costa y Melo,4/5/2022,,22.0,,,False,False,False,False,170000.0,10000.0,1500.0,8.0,0.49,0.24,0.2,2.4,77.0,45.0,,,,38.0
59,Parque de los Niños,4/5/2022,17.7,,7.8,7.6,False,False,False,False,26000.0,10000.0,960.0,10.1,0.77,,0.19,,,71.0,,,,42.0
60,Costanera Norte - Espigón Abanico,4/5/2022,16.4,,6.2,7.3,False,False,False,False,20000.0,15000.0,800.0,7.1,1.16,,0.2,,,84.0,,,,42.0
61,Club de Pescadores,4/5/2022,18.2,,5.0,7.4,False,False,False,False,104000.0,50000.0,5000.0,9.7,2.05,,0.18,,,85.0,,,,39.0
62,Reserva Ecológica Costanera Sur - Playita,4/5/2022,16.4,,9.0,7.4,True,True,True,True,19000.0,5000.0,560.0,8.2,0.77,,0.17,,,75.0,,,,43.0
63,Escollera de Propaneros,4/5/2022,17.8,14.0,4.78,7.47,True,True,True,True,80000.0,5000.0,850.0,4.3,1.7,0.52,0.43,4.2,89.0,75.0,0.015,,,37.0
64,Polo Petroquímico Dock Sud,4/5/2022,17.8,14.0,4.28,7.42,True,True,True,True,270000.0,6000.0,300.0,3.9,2.0,0.45,0.42,4.1,65.0,45.0,0.007,,,36.0
65,Arroyo Sarandí,4/5/2022,18.4,14.0,4.46,7.5,True,True,True,True,103000.0,35000.0,640.0,11.5,,0.79,0.73,,80.0,23.0,0.008,,,38.0
66,Costa de Villa Domínico,4/5/2022,17.0,14.0,2.28,7.6,True,True,True,True,420000.0,28000.0,1100.0,3.4,4.8,1.2,0.88,,84.0,13.0,0.007,,,35.0
67,Arroyo Santo Domingo,4/5/2022,17.9,14.0,3.43,7.46,True,True,True,True,20000.0,4200.0,230.0,3.7,2.9,0.65,0.53,,53.0,22.0,0.006,,,39.0
68,Espora 400 m,4/5/2022,16.0,13.0,5.97,7.05,False,False,False,False,27000.0,300.0,5.0,11.9,,0.53,0.5,7.3,90.0,34.0,,,,45.0
69,Náutico 400 m,4/5/2022,16.1,13.0,5.14,6.93,False,False,False,False,20000.0,150.0,100.0,12.1,,0.43,0.41,4.3,82.0,37.0,,,,45.0
70,Pejerrey Club 400 m,4/5/2022,15.3,13.0,9.97,7.61,False,False,False,False,170000.0,110.0,180.0,11.3,0.41,0.49,0.4,9.4,48.0,38.0,,1030.0,,40.0
71,Calle 14 y Costa - Salida cloaca,4/5/2022,15.8,15.0,10.83,9.39,True,False,False,False,70000.0,2000.0,370.0,5.8,,0.54,0.54,16.0,62.0,60.0,0.007,,,36.0
72,Puerto Trinidad calle 47,4/5/2022,16.7,15.0,12.0,8.81,False,False,False,False,280000.0,3600.0,1580.0,10.0,0.18,0.7,0.67,12.0,110.0,45.0,0.02,,,36.0
73,Costanera Hudson Calle 63,4/5/2022,17.0,17.0,17.61,9.98,False,False,False,False,20000.0,1000.0,800.0,6.2,,0.52,0.43,18.0,59.0,60.0,0.007,,,40.0
74,Boca Cerrada (Res.Nat. Punta Lara),4/5/2022,,8.0,,,False,False,False,False,1800.0,400.0,50.0,3.9,,0.53,0.52,9.4,72.0,90.0,0.006,,,51.0
75,Camping Eva Perón,4/5/2022,13.6,8.0,12.84,10.02,False,False,False,False,1600.0,50.0,10.0,4.7,,0.4,0.37,5.4,74.0,90.0,0.007,,,59.0
76,Toma de agua Club de Pesca,4/5/2022,14.3,8.0,8.57,8.09,False,False,False,False,500.0,20.0,10.0,8.4,,0.23,0.17,,64.0,55.0,,120.0,,64.0
77,Arroyo El Gato,4/5/2022,14.5,8.0,5.71,7.52,False,False,False,False,20000.0,1100.0,1540.0,21.9,,0.34,0.3,10.0,63.0,24.0,,350.0,1.67,40.0
78,Ensenada Prefectura Isla Santiago,4/5/2022,15.6,8.0,7.75,7.99,False,False,False,False,1600.0,200.0,45.0,13.2,,0.23,0.18,2.3,56.0,55.0,,350.0,,55.0
79,Balneario Palo Blanco,4/5/2022,8.0,13.0,,7.76,False,False,False,False,30000.0,10000.0,800.0,12.5,,0.39,0.32,5.8,70.0,19.0,,,,41.0
80,Diagonal 66 (descarga cloaca),4/5/2022,8.0,12.0,7.2,7.99,True,True,True,True,400000.0,150000.0,28000.0,,8.5,1.2,0.85,7.1,66.0,3.3,,,,29.0
